$Date,$Time,PIC101SP,PT101,PIC101OUT,PIC101P_GS,PIC101I_GS
05/23/22,03:13:45,0,1.169,100,140,3
05/23/22,03:13:46,0,1.17,100,140,3
05/23/22,03:13:47,0,1.17,100,140,3
05/23/22,03:13:48,0,1.17,100,140,3
05/23/22,03:13:49,0,1.17,100,140,3
05/23/22,03:13:50,0,1.17,100,140,3
05/23/22,03:13:51,0,1.17,100,140,3
05/23/22,03:13:52,0,1.17,100,140,3
05/23/22,03:13:53,0,1.17,100,140,3
05/23/22,03:13:54,0,1.17,100,140,3
05/23/22,03:13:55,0,1.17,100,140,3
05/23/22,03:13:56,0,1.17,100,140,3
05/23/22,03:13:57,0,1.17,100,140,3
05/23/22,03:13:58,0,1.169,100,140,3
05/23/22,03:13:59,0,1.17,100,140,3
05/23/22,03:14:00,0,1.17,100,140,3
05/23/22,03:14:01,0,1.17,100,140,3
05/23/22,03:14:02,0,1.17,100,140,3
05/23/22,03:14:03,0,1.17,100,140,3
05/23/22,03:14:04,0,1.17,100,140,3
05/23/22,03:14:05,0,1.17,100,140,3
05/23/22,03:14:06,0,1.169,100,140,3
05/23/22,03:14:07,0,1.17,100,140,3
05/23/22,03:14:08,0,1.17,100,140,3
05/23/22,03:14:09,0,1.17,100,140,3
05/23/22,03:14:10,0,1.17,100,140,3
05/23/22,03:14:11,0,1.17,100,140,3
05/23/22,03:14:12,0,1.17,100,140,3
05/23/22,03:14:13,0,1.17,100,140,3
05/23/22,03:14:14,0,1.17,100,140,3
05/23/22,03:14:15,0,1.17,100,140,3
05/23/22,03:14:16,0,1.17,100,140,3
05/23/22,03:14:17,0,1.17,100,140,3
05/23/22,03:14:18,0,1.17,100,140,3
05/23/22,03:14:19,0,1.17,100,140,3
05/23/22,03:14:20,0,1.17,100,140,3
05/23/22,03:14:21,0,1.17,100,140,3
05/23/22,03:14:22,0,1.17,100,140,3
05/23/22,03:14:23,0,1.17,100,140,3
05/23/22,03:14:24,0,1.17,100,140,3
05/23/22,03:14:25,0,1.17,100,140,3
05/23/22,03:14:26,0,1.17,100,140,3
05/23/22,03:14:27,0,1.17,100,140,3
05/23/22,03:14:28,0,1.17,100,140,3
05/23/22,03:14:29,0,1.17,100,140,3
05/23/22,03:14:30,0,1.17,100,140,3
05/23/22,03:14:31,0,1.17,100,140,3
05/23/22,03:14:32,0,1.17,100,140,3
05/23/22,03:14:33,0,1.17,100,140,3
05/23/22,03:14:34,0,1.17,100,140,3
05/23/22,03:14:35,0,1.17,100,140,3
05/23/22,03:14:36,0,1.17,100,140,3
05/23/22,03:14:37,0,1.17,100,140,3
05/23/22,03:14:38,0,1.17,100,140,3
05/23/22,03:14:39,0,1.17,100,140,3
05/23/22,03:14:40,0,1.17,100,140,3
05/23/22,03:14:41,0,1.17,100,140,3
05/23/22,03:14:42,0,1.17,100,140,3
05/23/22,03:14:43,0,1.17,100,140,3
05/23/22,03:14:44,0,1.17,100,140,3
05/23/22,03:14:45,0,1.17,100,140,3
05/23/22,03:14:46,0,1.17,100,140,3
05/23/22,03:14:47,0,1.17,100,140,3
05/23/22,03:14:48,0,1.17,100,140,3
05/23/22,03:14:49,0,1.17,100,140,3
05/23/22,03:14:50,0,1.17,100,140,3
05/23/22,03:14:51,0,1.17,100,140,3
05/23/22,03:14:52,0,1.17,100,140,3
05/23/22,03:14:53,0,1.17,100,140,3
05/23/22,03:14:54,0,1.17,100,140,3
05/23/22,03:14:55,0,1.171,100,140,3
05/23/22,03:14:56,0,1.171,100,140,3
